siteID,namedLocation,flightdate,aos_match,days_diff,analyte,avg,sd,n
BARC,BARC.AOS.buoy.c0,2014-05-07,2014-05-13,6,TDS,10,NA,1
BARC,BARC.AOS.buoy.c0,2014-05-20,2014-05-13,7,TDS,10,NA,1
BARC,BARC.AOS.buoy.c0,2016-09-23,2016-10-12,19,TDS,19.8,NA,1
BARC,BARC.AOS.buoy.c0,2017-09-27,2017-10-10,13,TDS,17.1,NA,1
BARC,BARC.AOS.buoy.c0,2018-09-15,2018-09-05,10,TDS,17.213333333333335,0.1350308606701955,3
BARC,BARC.AOS.buoy.c0,2018-10-12,2018-10-01,11,TDS,17.53,NA,1
BARC,BARC.AOS.buoy.c0,2019-04-16,2019-04-11,5,TDS,13.14,NA,1
BARC,BARC.AOS.buoy.c0,2014-05-07,2014-05-13,6,TSS,7.5,NA,1
BARC,BARC.AOS.buoy.c0,2014-05-20,2014-05-13,7,TSS,7.5,NA,1
BARC,BARC.AOS.buoy.c0,2016-09-23,2016-10-12,19,TSS,16.3,NA,1
BARC,BARC.AOS.buoy.c0,2017-09-27,2017-10-10,13,TSS,2,NA,1
BARC,BARC.AOS.buoy.c0,2018-09-15,2018-09-05,10,TSS,2,0,3
BARC,BARC.AOS.buoy.c0,2018-10-12,2018-10-01,11,TSS,2,NA,1
BARC,BARC.AOS.buoy.c0,2019-04-16,2019-04-11,5,TSS,0,NA,1
