siteID,namedLocation,flightdate,aos_match,days_diff,analyte,avg,sd,n
BLWA,BLWA.AOS.buoy.c0,2017-05-15,2017-05-16,1,TDS,105.28,NA,1
BLWA,BLWA.AOS.buoy.c0,2017-05-16,2017-05-16,0,TDS,105.28,NA,1
BLWA,BLWA.AOS.buoy.c0,2017-05-26,2017-05-23,3,TDS,127.4,NA,1
BLWA,BLWA.AOS.buoy.c0,2018-04-30,2018-05-02,2,TDS,102.35,NA,1
BLWA,BLWA.AOS.buoy.c0,2019-04-29,2019-05-02,3,TDS,118.62,NA,1
BLWA,BLWA.AOS.buoy.c0,2017-05-15,2017-05-16,1,TSS,24,NA,1
BLWA,BLWA.AOS.buoy.c0,2017-05-16,2017-05-16,0,TSS,24,NA,1
BLWA,BLWA.AOS.buoy.c0,2017-05-26,2017-05-23,3,TSS,48,NA,1
BLWA,BLWA.AOS.buoy.c0,2018-04-30,2018-05-02,2,TSS,14,NA,1
BLWA,BLWA.AOS.buoy.c0,2019-04-29,2019-05-02,3,TSS,6,NA,1
