siteID,namedLocation,flightdate,aos_match,days_diff,analyte,avg,sd,n
FLNT,FLNT.AOS.buoy.c0,2017-09-17,2017-09-14,3,TDS,111.7,0.8185352771872497,3
FLNT,FLNT.AOS.buoy.c0,2017-09-17,2017-09-14,3,TSS,7.333333333333333,1.1547005383792515,3
FLNT,FLNT.AOS.buoy.c0,2017-09-18,2017-09-14,4,TDS,111.7,0.8185352771872497,3
FLNT,FLNT.AOS.buoy.c0,2017-09-18,2017-09-14,4,TSS,7.333333333333333,1.1547005383792515,3
FLNT,FLNT.AOS.buoy.c0,2018-09-16,2018-09-19,3,TDS,142.69,NA,1
FLNT,FLNT.AOS.buoy.c0,2018-09-16,2018-09-19,3,TSS,0,NA,1
FLNT,FLNT.AOS.buoy.c0,2018-09-19,2018-09-19,0,TDS,142.69,NA,1
FLNT,FLNT.AOS.buoy.c0,2018-09-19,2018-09-19,0,TSS,0,NA,1
FLNT,FLNT.AOS.buoy.c0,2019-08-30,2019-08-13,17,TDS,114.7,NA,1
FLNT,FLNT.AOS.buoy.c0,2019-08-30,2019-08-13,17,TSS,4,NA,1
FLNT,FLNT.AOS.buoy.c0,2019-09-06,2019-09-17,11,TDS,123.85,NA,1
FLNT,FLNT.AOS.buoy.c0,2019-09-06,2019-09-17,11,TSS,8,NA,1
