siteID,aop_datetime,sensor_rollavg_datetime,chl5min,chl_ma01,chl_ma03,chl_ma04,chl_ma04u,chl_ma06,chl_ma12,radfile
PRLA,2019-07-26T15:20:23Z,2019-07-26T15:20:00Z,5.83,6.245,6.285,6.29,6.312173913043479,6.35,6.61,2019072613-NEON_D09_WOOD_DP1_20190726_L001-1_radiance
PRLA,2019-07-26T16:22:11Z,2019-07-26T16:20:00Z,6.7,6.175,6.285,6.31,6.3275,6.425,6.61,2019072613-NEON_D09_WOOD_DP1_20190726_L017-1_radiance
PRLA,2019-07-26T22:09:25Z,2019-07-26T22:10:00Z,7.47,7.665,7.735,7.695,7.8810416666666665,7.66,7.65,2019072619-NEON_D09_WOOD_DP1_20190726_L001-1_radiance
PRLA,2019-07-27T15:27:04Z,2019-07-27T15:25:00Z,8.16,8.195,8.379999999999999,8.4,8.477083333333333,8.455,8.655000000000001,2019072713-NEON_D09_WOOD_DP1_20190727_L001-1_radiance
PRLA,2019-07-30T15:34:20Z,2019-07-30T15:35:00Z,18.12,17.85,17.46,17.46,17.53913043478261,17.86,19.67,2019073014-NEON_D09_WOOD_DP1_20190730_L001-1_radiance
PRLA,2020-06-24T17:36:27Z,2020-06-24T17:35:00Z,2.54,2.3200000000000003,2.4800000000000004,2.545,2.638333333333333,2.715,3.15,2020062413-NEON_D09_WOOD_DP1_20200624_L001-1_radiance
PRLA,2020-06-24T16:26:15Z,2020-06-24T16:25:00Z,2.74,2.565,2.56,2.565,2.581875,2.68,3.165,2020062413-NEON_D09_WOOD_DP1_20200624_L017-1_radiance
PRLA,2020-06-24T16:18:44Z,2020-06-24T16:20:00Z,2.54,2.565,2.56,2.585,2.5879166666666666,2.68,3.175,2020062413-NEON_D09_WOOD_DP1_20200624_L018-1_radiance
PRLA,2020-06-26T19:28:06Z,2020-06-26T19:30:00Z,NA,NA,NA,NA,NA,NA,NA,2020062614-NEON_D09_WOOD_DP1_20200626_L001-2_radiance
PRLA,2020-07-02T17:14:10Z,2020-07-02T17:15:00Z,NA,NA,NA,NA,NA,NA,NA,2020070214-NEON_D09_WOOD_DP1_20200702_L001-1_radiance
