siteID,aop_datetime,sensor_rollavg_datetime,fdom5min,ma01,ma03,ma04,ma04u,ma06,ma12,radfile
PRLA,2019-07-26T15:20:23Z,2019-07-26T15:20:00Z,109.76,109.62,109.62,109.63,109.61511627906977,109.63,109.63,2019072613-NEON_D09_WOOD_DP1_20190726_L001-1_radiance
PRLA,2019-07-26T16:22:11Z,2019-07-26T16:20:00Z,109.22,109.26,109.26,109.26,109.27674418604651,109.26,109.26,2019072613-NEON_D09_WOOD_DP1_20190726_L017-1_radiance
PRLA,2019-07-26T22:09:25Z,2019-07-26T22:10:00Z,108.23,108.07499999999999,108.065,108.065,108.08375,108.07,108.09,2019072619-NEON_D09_WOOD_DP1_20190726_L001-1_radiance
PRLA,2019-07-27T15:27:04Z,2019-07-27T15:25:00Z,105.65,105.75999999999999,105.745,105.745,105.74895833333333,105.745,105.8,2019072713-NEON_D09_WOOD_DP1_20190727_L001-1_radiance
PRLA,2019-07-30T15:34:20Z,2019-07-30T15:35:00Z,100.23,100.38,100.35,100.31,100.28903225806452,100.34,100.35,2019073014-NEON_D09_WOOD_DP1_20190730_L001-1_radiance
PRLA,2020-06-24T17:36:27Z,2020-06-24T17:35:00Z,69.59,69.625,69.7,69.73,69.53479166666666,69.86500000000001,70.2,2020062413-NEON_D09_WOOD_DP1_20200624_L001-1_radiance
PRLA,2020-06-24T16:26:15Z,2020-06-24T16:25:00Z,70.02,69.855,69.88,69.88,69.944375,69.85,70.10499999999999,2020062413-NEON_D09_WOOD_DP1_20200624_L017-1_radiance
PRLA,2020-06-24T16:18:44Z,2020-06-24T16:20:00Z,69.73,69.945,69.955,69.955,69.961875,69.85,70.10499999999999,2020062413-NEON_D09_WOOD_DP1_20200624_L018-1_radiance
PRLA,2020-06-26T19:28:06Z,2020-06-26T19:30:00Z,NA,NA,NA,NA,NA,NA,NA,2020062614-NEON_D09_WOOD_DP1_20200626_L001-2_radiance
PRLA,2020-07-02T17:14:10Z,2020-07-02T17:15:00Z,NA,NA,NA,NA,NA,NA,NA,2020070214-NEON_D09_WOOD_DP1_20200702_L001-1_radiance
