siteID,aop_datetime,sensor_rollavg_datetime,turb5min,ma01,ma03,ma04,ma04u,ma06,ma12,radfile
PRLA,2019-07-26T15:20:23Z,2019-07-26T15:20:00Z,2.09,2.17,2.17,2.175,2.228913043478261,2.18,2.24,2019072613-NEON_D09_WOOD_DP1_20190726_L001-1_radiance
PRLA,2019-07-26T16:22:11Z,2019-07-26T16:20:00Z,2.17,2.205,2.2300000000000004,2.24,2.3266666666666667,2.245,2.29,2019072613-NEON_D09_WOOD_DP1_20190726_L017-1_radiance
PRLA,2019-07-26T22:09:25Z,2019-07-26T22:10:00Z,3.98,3.185,3.14,3.125,3.1291666666666664,3.08,2.925,2019072619-NEON_D09_WOOD_DP1_20190726_L001-1_radiance
PRLA,2019-07-27T15:27:04Z,2019-07-27T15:25:00Z,3.62,2.9850000000000003,2.93,2.91,2.9429166666666666,2.79,2.6,2019072713-NEON_D09_WOOD_DP1_20190727_L001-1_radiance
PRLA,2019-07-30T15:34:20Z,2019-07-30T15:35:00Z,2.75,2.77,2.795,2.82,2.921590909090909,2.82,2.82,2019073014-NEON_D09_WOOD_DP1_20190730_L001-1_radiance
PRLA,2020-06-24T17:36:27Z,2020-06-24T17:35:00Z,1.91,1.865,1.82,1.8650000000000002,3.284375,1.8450000000000002,1.9,2020062413-NEON_D09_WOOD_DP1_20200624_L001-1_radiance
PRLA,2020-06-24T16:26:15Z,2020-06-24T16:25:00Z,1.51,1.795,1.875,1.84,2.687708333333333,1.875,1.9,2020062413-NEON_D09_WOOD_DP1_20200624_L017-1_radiance
PRLA,2020-06-24T16:18:44Z,2020-06-24T16:20:00Z,1.93,1.795,1.875,1.815,2.6772916666666666,1.875,1.9,2020062413-NEON_D09_WOOD_DP1_20200624_L018-1_radiance
PRLA,2020-06-26T19:28:06Z,2020-06-26T19:30:00Z,NA,NA,NA,NA,NA,NA,NA,2020062614-NEON_D09_WOOD_DP1_20200626_L001-2_radiance
PRLA,2020-07-02T17:14:10Z,2020-07-02T17:15:00Z,NA,NA,NA,NA,NA,NA,NA,2020070214-NEON_D09_WOOD_DP1_20200702_L001-1_radiance
