siteID,namedLocation,flightdate,aos_match,days_diff,analyte,avg,sd,n
SUGG,SUGG.AOS.buoy.c0,2014-05-07,2014-05-13,6,TDS,138,NA,1
SUGG,SUGG.AOS.buoy.c0,2014-05-20,2014-05-13,7,TDS,138,NA,1
SUGG,SUGG.AOS.buoy.c0,2016-09-23,2016-10-11,18,TDS,43.4,NA,1
SUGG,SUGG.AOS.buoy.c0,2017-09-27,2017-10-03,6,TDS,32.1,NA,1
SUGG,SUGG.AOS.buoy.c0,2018-09-15,2018-09-04,11,TDS,29.650000000000002,0.8321057625085893,3
SUGG,SUGG.AOS.buoy.c0,2018-10-05,2018-10-01,4,TDS,29.24,NA,1
SUGG,SUGG.AOS.buoy.c0,2018-10-12,2018-10-01,11,TDS,29.24,NA,1
SUGG,SUGG.AOS.buoy.c0,2019-04-16,2019-04-11,5,TDS,27.12,NA,1
SUGG,SUGG.AOS.buoy.c0,2014-05-07,2014-05-13,6,TSS,7.5,NA,1
SUGG,SUGG.AOS.buoy.c0,2014-05-20,2014-05-13,7,TSS,7.5,NA,1
SUGG,SUGG.AOS.buoy.c0,2016-09-23,2016-10-11,18,TSS,12.2,NA,1
SUGG,SUGG.AOS.buoy.c0,2017-09-27,2017-10-03,6,TSS,4,NA,1
SUGG,SUGG.AOS.buoy.c0,2018-09-15,2018-09-04,11,TSS,2,0,3
SUGG,SUGG.AOS.buoy.c0,2018-10-05,2018-10-01,4,TSS,0,NA,1
SUGG,SUGG.AOS.buoy.c0,2018-10-12,2018-10-01,11,TSS,0,NA,1
SUGG,SUGG.AOS.buoy.c0,2019-04-16,2019-04-11,5,TSS,0,NA,1
